ttft_s,e2e_s,tpot_s,output_tokens,status,segment_idx,label
0.2039506435394287,5.282222509384155,0.039986392644446665,128,successful,4,baseline
0.16308927536010742,5.123842000961304,0.03906104508347399,128,successful,4,baseline
0.2343893051147461,5.065609693527222,0.038041105420570674,128,successful,4,baseline
0.20848488807678223,5.422353744506836,0.04105408548370121,128,successful,4,baseline
0.13345813751220703,5.25208306312561,0.040304133272546484,128,successful,4,baseline
0.24211430549621582,5.218554258346558,0.03918456655787671,128,successful,4,baseline
0.2782595157623291,5.114237546920776,0.03807856717447596,128,successful,4,baseline
0.24670171737670898,5.283970594406128,0.039663534464798575,128,successful,4,baseline
0.16336464881896973,5.312791585922241,0.04054666879608875,128,successful,4,baseline
0.13924670219421387,5.206932306289673,0.039903036252720146,128,successful,4,baseline
0.17710542678833008,5.386838436126709,0.041021519758569915,128,successful,4,baseline
0.22992205619812012,5.388496398925781,0.04061869561202883,128,successful,4,baseline
0.13257050514221191,4.988036632537842,0.038232016751146694,128,successful,4,baseline
0.21152567863464355,5.2716991901397705,0.0398438859173632,128,successful,4,baseline
0.08522844314575195,5.16539740562439,0.04000133041321762,128,successful,4,baseline
0.14730286598205566,5.215473413467407,0.039906854704609064,128,successful,4,baseline
0.2327134609222412,5.241043567657471,0.03943567013177346,128,successful,4,baseline
0.22342133522033691,5.270507097244263,0.039740832771841934,128,successful,4,baseline
0.1992015838623047,5.451993227005005,0.04136056411923386,128,successful,4,baseline
0.09073019027709961,4.993465900421143,0.038604218190110576,128,successful,4,baseline
0.22821283340454102,5.3005125522613525,0.039939367865014265,128,successful,4,baseline
0.16532111167907715,5.127284288406372,0.03907057619470311,128,successful,4,baseline
0.1269512176513672,5.356796026229858,0.041179880382507805,128,successful,4,baseline
0.2809302806854248,5.346763610839844,0.03988845141853873,128,successful,4,baseline
0.22913384437561035,5.0036375522613525,0.037594517384927105,128,successful,4,baseline
0.14787888526916504,5.3358728885650635,0.04085034648264487,128,successful,4,baseline
0.12020635604858398,5.274773836135864,0.04058714551249827,128,successful,4,baseline
0.1560373306274414,5.2313337326049805,0.039962963795098734,128,successful,4,baseline
0.24630165100097656,5.253045082092285,0.03942317662276621,128,successful,4,baseline
0.1385641098022461,5.132039785385132,0.03931870610695186,128,successful,4,baseline
0.2975802421569824,8.282047510147095,0.06286982100779616,128,successful,5,burst
0.23361921310424805,10.200475931167603,0.07847918675640436,128,successful,5,burst
0.30320262908935547,12.0337655544281,0.09236663720739169,128,successful,5,burst
0.27786755561828613,13.405537128448486,0.1033674769514189,128,successful,5,burst
0.4196791648864746,14.348790645599365,0.10967804315521962,128,successful,5,burst
0.5764250755310059,15.030592203140259,0.11381233958747443,128,successful,5,burst
0.4369072914123535,15.167025804519653,0.11598518514257716,128,successful,5,burst
0.508812665939331,15.491371631622314,0.1179729052415983,128,successful,5,burst
0.5198273658752441,15.631460905075073,0.11898924046614039,128,successful,5,burst
0.5602915287017822,15.622660636901855,0.1186013315606305,128,successful,5,burst
1.5428073406219482,16.961918354034424,0.12141032294025571,128,successful,5,burst
2.850001573562622,18.073704957962036,0.11987168019212137,128,successful,5,burst
3.8086276054382324,18.98275065422058,0.11948128384867991,128,successful,5,burst
4.537789583206177,19.833117961883545,0.12043565652501864,128,successful,5,burst
4.57647705078125,19.824069499969482,0.12005978306447428,128,successful,5,burst
5.037643671035767,20.2807719707489,0.12002463228120579,128,successful,5,burst
5.155368804931641,20.296303033828735,0.11921995455824484,128,successful,5,burst
5.06128191947937,20.18728995323181,0.11910242546261765,128,successful,5,burst
6.456434488296509,21.73516821861267,0.12030499000248947,128,successful,5,burst
7.545496940612793,22.857181072235107,0.12056444198127807,128,successful,5,burst
8.354589223861694,23.55591130256653,0.11969544943862075,128,successful,5,burst
9.32100534439087,24.608733654022217,0.12037581346166415,128,successful,5,burst
9.25254225730896,24.53481650352478,0.12033286808043953,128,successful,5,burst
9.762053489685059,25.254181623458862,0.12198526089585672,128,successful,5,burst
9.750178575515747,25.046711206436157,0.12044513882614497,128,successful,5,burst
9.61747694015503,24.712918996810913,0.11886174847760539,128,successful,5,burst
0.20790672302246094,6.507724761962891,0.04960486644834984,128,successful,5,burst
11.16176986694336,26.520461797714233,0.12093458213205413,128,successful,5,burst
0.11747527122497559,6.304095983505249,0.0487135489155927,128,successful,5,burst
12.287269830703735,27.68361473083496,0.12123106220575768,128,successful,5,burst
12.932417869567871,28.22884488105774,0.12044430717708558,128,successful,5,burst
14.019477367401123,29.231688737869263,0.11978119189344992,128,successful,5,burst
0.2395181655883789,5.439672470092773,0.04094609688586137,128,successful,5,burst
14.009340763092041,29.14187002182007,0.11915377369077187,128,successful,5,burst
14.588962316513062,29.952955722808838,0.12097632603382501,128,successful,5,burst
14.476959228515625,29.804458379745483,0.1206889696947233,128,successful,5,burst
14.124954462051392,29.547011852264404,0.12143352275758278,128,successful,5,burst
0.22512125968933105,5.876700401306152,0.044500623162337175,128,successful,5,burst
16.060710906982422,31.389561653137207,0.12069961217444712,128,successful,5,burst
17.18852925300598,32.37380647659302,0.11956911199674831,128,successful,5,burst
0.3122749328613281,7.476149797439575,0.05640846350061612,128,successful,5,burst
17.637779474258423,33.04683566093445,0.12133115107618918,128,successful,5,burst
0.3062310218811035,7.426250696182251,0.05606314704174132,128,successful,5,burst
0.28003811836242676,6.967225074768066,0.052655015404768815,128,successful,5,burst
18.57377052307129,33.828774213790894,0.12011813929700475,128,successful,5,burst
18.646634340286255,34.06841230392456,0.12143132254833311,128,successful,5,burst
19.38726305961609,34.64467453956604,0.12013709826732245,128,successful,5,burst
16.43812847137451,31.78235650062561,0.12082069314370944,128,successful,5,burst
0.13537120819091797,5.237988471984863,0.04017808869129091,128,successful,6,baseline
0.20684170722961426,5.265161514282227,0.03982928981931191,128,successful,6,baseline
0.09216451644897461,5.203498840332031,0.04024672695970911,128,successful,6,baseline
0.21608519554138184,5.365133047103882,0.04054368387057087,128,successful,6,baseline
0.17604923248291016,5.2127721309661865,0.03965923542112816,128,successful,6,baseline
0.2045884132385254,5.260357856750488,0.03980920821662963,128,successful,6,baseline
0.24106097221374512,5.36065149307251,0.040311736384714685,128,successful,6,baseline
0.19573354721069336,5.231500625610352,0.039651709278737464,128,successful,6,baseline
0.1669754981994629,5.225456476211548,0.03983055888198492,128,successful,6,baseline
0.2805931568145752,5.3859333992004395,0.04019952946760523,128,successful,6,baseline
0.29849934577941895,5.450520277023315,0.040567093946802336,128,successful,6,baseline
0.2932472229003906,5.364550352096558,0.039931520702332024,128,successful,6,baseline
0.15475153923034668,5.141806602478027,0.03926815010431245,128,successful,6,baseline
